"country","capital","type","currency","abbreviation","composition"
"Afghanistan","Kabul","countryCapital","Afghan Afghani"
"Albania","Tirana","countryCapital","Albanian Lek"
"Algeria","Algiers","countryCapital","Algerian Dinar"
"Andorra","Andorra la Vella","countryCapital","Euro"
"Angola","Luanda","countryCapital","Angolan Kwanza"
"Anguilla","The Valley","countryCapital","East Caribbean Dollar"
"Antigua and Barbuda","St. John's","countryCapital","East Carribean Dollar","Antigua"
"Aruba", "Oranjestad", "countryCapital", "Aruban Florin"
"Argentina","Buenos Aires","countryCapital","Argentinan Peso" 
"Armenia","Yerevan","countryCapital","Armenian Dram"
"Australia","Canberra","countryCapital","Australian Dollar"
"Austria","Vienna","countryCapital","Euro"
"Azerbaijan","Baku","countryCapital","Arzebaijan Manat"
"Bahamas","Nassau","countryCapital","Bahamian Dollar"
"Bahrain","Manama","countryCapital","Bahraini Dinar"
"Bangladesh","Dhaka","countryCapital","Bangladeshi Taka"
"Barbados","Bridgetown","countryCapital","Barbadian Dollar"
"Belarus","Minsk","countryCapital"'Belarusian Ruble"
"Belgium","Brussels","countryCapital","Euro"
"Belize","Belmopan","countryCapital","Belize Dollar"
"Benin","Porto-Novo","countryCapital","West African Franc"
"Bermuda","Hamilton","countryCapital","Bermudian Dollar"
"Bhutan","Thimphu","countryCapital","Bhutanese Ngultrum"
"Bolivia","La Paz","countryCapital","Bolivian Boliviano"
"Bosnia and Herzegovina","Sarajevo","countryCapital","Bosnian Mark","Bosnia"
"Botswana","Gaborone","countryCapital","Bostwana Pula"
"Brazil","Brasília","countryCapital","Brazilian Real"
"Brunei","Bandar Seri Begawan","countryCapital","Brunei Dollar"
"Bulgaria","Sofia","countryCapital","Bulgarian Lev"
"Burkina Faso","Ouagadougou","countryCapital","West African Franc","BF", "Burkina"
"Burundi","Bujumbura","countryCapital","Burundian Franc"
"Cambodia","Phnom Penh","countryCapital","Cambodian Riel"
"Cameroon","Yaoundé","countryCapital","Central African Franc"
"Canada","Ottawa","countryCapital","Canadian Dollar"
"Cape Verde","Praia","countryCapital","Cape Verdean Escudo"
"Central African Republic","Bangui","countryCapital","Central African Franc","Central Africa", "Central"
"Chad","N'Djamena","countryCapital","Central African Franc"
"Chile","Santiago","countryCapital","Chilean Peso"
"China","Beijing","countryCapital","Chinese Yuan"
"Colombia","Bogotá","countryCapital","Colombian Peso"
"Comoros","Moroni","countryCapital","Comorian Franc"
"Costa Rica","San José","countryCapital","Costa Rican Colon",,"Costa"
"Croatia","Zagreb","countryCapital","Croatian Kuna"
"Cuba","Havana","countryCapital","Cuban Peso"
"Cyprus","Nicosia","countryCapital","Euro"
"Czech Republic","Prague","countryCapital","Czech Koruna","CZ", "Czech"
